File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-05 16:44:04 CEST
Duration: 120.17s, Total samples = 36.02s (29.97%)
Showing nodes accounting for -21.60s, 59.97% of 36.02s total
Dropped 950 nodes (cum <= 0.18s)
      flat  flat%   sum%        cum   cum%
    -0.04s  0.11% 55.61%     -0.16s  0.44%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).Swap
    -0.04s  0.11% 55.72%     -0.17s  0.47%  reflect.(*rtype).Field
    -0.04s  0.11% 55.83%     -0.16s  0.44%  runtime.(*mspan).typePointersOfUnchecked
    -0.04s  0.11% 55.94%     -0.83s  2.30%  runtime.(*timers).check
    -0.04s  0.11% 56.05%     -0.43s  1.19%  strings.genSplit
    -0.04s  0.11% 56.16%     -4.59s 12.74%  syscall.RawSyscall6
    -0.03s 0.083% 56.25%     -0.38s  1.05%  github.com/go-playground/validator.New
    -0.03s 0.083% 56.33%     -1.25s  3.47%  github.com/jackc/pgx/v5/pgconn/internal/bgreader.(*BGReader).Read
    -0.03s 0.083% 56.41%     -4.25s 11.80%  github.com/jackc/pgx/v5/pgproto3.(*Frontend).Flush
    -0.03s 0.083% 56.50%     -1.44s  4.00%  github.com/jackc/pgx/v5/pgproto3.(*Frontend).Receive
    -0.03s 0.083% 56.58%     -0.22s  0.61%  gorm.io/gorm.(*Statement).AddClause
    -0.03s 0.083% 56.66%     -0.40s  1.11%  gorm.io/gorm/callbacks.BuildQuerySQL
    -0.03s 0.083% 56.75%     -4.18s 11.60%  internal/poll.(*FD).Write
    -0.03s 0.083% 56.83%     -0.88s  2.44%  math/rand.(*Rand).Int63 (inline)
    -0.03s 0.083% 56.91%    -16.98s 47.14%  orderservice/internal/service.(*orderService).AddNewOrder
    -0.03s 0.083% 57.00%     -0.47s  1.30%  runtime.(*mcache).refill
    -0.03s 0.083% 57.08%     -0.14s  0.39%  runtime.(*spanSet).pop
    -0.03s 0.083% 57.16%     -0.33s  0.92%  runtime.heapSetTypeNoHeader (inline)
    -0.03s 0.083% 57.25%     -0.29s  0.81%  runtime.reentersyscall
    -0.03s 0.083% 57.33%     -4.27s 11.85%  runtime.schedule
    -0.02s 0.056% 57.38%     -5.74s 15.94%  database/sql.(*DB).queryDC.func1
    -0.02s 0.056% 57.44%     -0.17s  0.47%  encoding/json.(*decodeState).array
    -0.02s 0.056% 57.50%     -0.51s  1.42%  github.com/go-playground/validator.(*validate).traverseField
    -0.02s 0.056% 57.55%     -5.46s 15.16%  github.com/jackc/pgx/v5.(*Conn).Query
