File: orderservice
Build ID: 56fd7ab202b9ced3754b0933603c2d482033c547
Type: inuse_space
Time: 2026-04-10 20:31:02 CEST
Showing nodes accounting for 0.86MB, 11.28% of 7.66MB total
Dropped 2 nodes (cum <= 0.04MB)
      flat  flat%   sum%        cum   cum%
         0     0% 11.28%    -0.50MB  6.53%  runtime.newproc.func1
         0     0% 11.28%    -0.50MB  6.53%  runtime.newproc1
         0     0% 11.28%    -0.50MB  6.54%  runtime.park_m
         0     0% 11.28%        1MB 13.07%  runtime.resetspinning
         0     0% 11.28%        1MB 13.07%  runtime.schedule
         0     0% 11.28%        1MB 13.07%  runtime.startm
         0     0% 11.28%    -0.50MB  6.53%  runtime.systemstack
         0     0% 11.28%     0.50MB  6.52%  runtime.unique_runtime_registerUniqueMapCleanup.func2
         0     0% 11.28%        1MB 13.07%  runtime.wakep
         0     0% 11.28%     0.50MB  6.52%  runtime/pprof.(*profileBuilder).appendLocsForStack
         0     0% 11.28%     0.50MB  6.52%  runtime/pprof.(*profileBuilder).build
         0     0% 11.28%     0.50MB  6.52%  runtime/pprof.profileWriter
         0     0% 11.28%     0.52MB  6.78%  sync.(*Once).Do (inline)
         0     0% 11.28%     0.52MB  6.78%  sync.(*Once).doSlow
