File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-15 17:14:09 CEST
Duration: 60.07s, Total samples = 8.38s (13.95%)
Showing nodes accounting for 6.35s, 75.78% of 8.38s total
Dropped 438 nodes (cum <= 0.04s)
      flat  flat%   sum%        cum   cum%
     0.01s  0.12% 73.87%      0.08s  0.95%  runtime.chansend
     0.01s  0.12% 73.99%      0.26s  3.10%  runtime.gcBgMarkWorker
     0.01s  0.12% 74.11%      0.14s  1.67%  runtime.mallocgcSmallScanNoHeader
     0.01s  0.12% 74.22%      0.05s   0.6%  runtime.mapassign
     0.01s  0.12% 74.34%      0.37s  4.42%  runtime.notesleep
     0.01s  0.12% 74.46%      0.10s  1.19%  runtime.pidleget
     0.01s  0.12% 74.58%      0.07s  0.84%  runtime.reentersyscall
     0.01s  0.12% 74.70%      0.12s  1.43%  runtime.resetspinning
     0.01s  0.12% 74.82%      0.17s  2.03%  runtime.runqsteal
     0.01s  0.12% 74.94%      0.08s  0.95%  runtime.send
     0.01s  0.12% 75.06%      0.15s  1.79%  runtime.startm
     0.01s  0.12% 75.18%      0.05s   0.6%  strconv.FormatInt
     0.01s  0.12% 75.30%      0.05s   0.6%  sync.(*Pool).Get
     0.01s  0.12% 75.42%      0.55s  6.56%  syscall.Read (inline)
     0.01s  0.12% 75.54%      2.02s 24.11%  syscall.Syscall
     0.01s  0.12% 75.66%      1.49s 17.78%  syscall.write
     0.01s  0.12% 75.78%      0.48s  5.73%  time.Now
         0     0% 75.78%      0.55s  6.56%  bufio.(*Reader).fill
         0     0% 75.78%      0.75s  8.95%  bufio.(*Writer).Flush
         0     0% 75.78%      0.06s  0.72%  context.(*cancelCtx).propagateCancel
         0     0% 75.78%      0.07s  0.84%  context.WithCancel
         0     0% 75.78%      0.11s  1.31%  context.WithDeadline (inline)
         0     0% 75.78%      0.11s  1.31%  context.WithDeadlineCause
         0     0% 75.78%      0.14s  1.67%  context.WithTimeout
         0     0% 75.78%      0.06s  0.72%  context.withCancel (inline)
         0     0% 75.78%      0.07s  0.84%  database/sql.(*DB).BeginTx
         0     0% 75.78%      0.07s  0.84%  database/sql.(*DB).BeginTx.func1
         0     0% 75.78%      0.07s  0.84%  database/sql.(*DB).begin
         0     0% 75.78%      0.06s  0.72%  database/sql.(*DB).beginDC
         0     0% 75.78%      0.06s  0.72%  database/sql.(*DB).execDC
         0     0% 75.78%      0.06s  0.72%  database/sql.(*DB).execDC.func2
         0     0% 75.78%      0.31s  3.70%  database/sql.(*DB).queryDC
         0     0% 75.78%      0.28s  3.34%  database/sql.(*DB).queryDC.func1
         0     0% 75.78%      0.07s  0.84%  database/sql.(*DB).retry
         0     0% 75.78%      0.06s  0.72%  database/sql.(*Tx).ExecContext
         0     0% 75.78%      0.31s  3.70%  database/sql.(*Tx).QueryContext
         0     0% 75.78%      0.06s  0.72%  database/sql.ctxDriverExec
         0     0% 75.78%      0.27s  3.22%  database/sql.ctxDriverQuery
         0     0% 75.78%      0.11s  1.31%  encoding/json.(*decodeState).array
         0     0% 75.78%      0.09s  1.07%  encoding/json.(*decodeState).literalStore
         0     0% 75.78%      0.32s  3.82%  encoding/json.(*decodeState).unmarshal
         0     0% 75.78%      0.32s  3.82%  encoding/json.(*decodeState).value
         0     0% 75.78%      0.39s  4.65%  encoding/json.Unmarshal
         0     0% 75.78%      0.12s  1.43%  github.com/go-playground/validator.(*Validate).Struct (inline)
         0     0% 75.78%      0.12s  1.43%  github.com/go-playground/validator.(*Validate).StructCtx
         0     0% 75.78%      0.11s  1.31%  github.com/go-playground/validator.(*validate).traverseField
         0     0% 75.78%      0.08s  0.95%  github.com/go-playground/validator.New.wrapFunc.func3
         0     0% 75.78%      0.05s   0.6%  github.com/go-playground/validator.isEmail
         0     0% 75.78%      0.13s  1.55%  github.com/jackc/pgx/v5.(*Conn).Exec
         0     0% 75.78%      0.25s  2.98%  github.com/jackc/pgx/v5.(*Conn).Query
         0     0% 75.78%      0.12s  1.43%  github.com/jackc/pgx/v5.(*Conn).exec
         0     0% 75.78%      0.06s  0.72%  github.com/jackc/pgx/v5.(*Conn).execPrepared
         0     0% 75.78%      0.06s  0.72%  github.com/jackc/pgx/v5.(*Conn).execSimpleProtocol
         0     0% 75.78%      0.13s  1.55%  github.com/jackc/pgx/v5.(*ExtendedQueryBuilder).Build
         0     0% 75.78%      0.13s  1.55%  github.com/jackc/pgx/v5.(*ExtendedQueryBuilder).appendParam
         0     0% 75.78%      0.10s  1.19%  github.com/jackc/pgx/v5.(*ExtendedQueryBuilder).encodeExtendedParamValue
         0     0% 75.78%      0.14s  1.67%  github.com/jackc/pgx/v5/pgconn.(*PgConn).ExecPrepared
         0     0% 75.78%      0.09s  1.07%  github.com/jackc/pgx/v5/pgconn.(*PgConn).execExtendedSuffix
         0     0% 75.78%      0.08s  0.95%  github.com/jackc/pgx/v5/pgconn.(*PgConn).flushWithPotentialWriteReadDeadlock
         0     0% 75.78%      0.06s  0.72%  github.com/jackc/pgx/v5/pgconn.(*PgConn).peekMessage
         0     0% 75.78%      0.05s   0.6%  github.com/jackc/pgx/v5/pgconn/internal/bgreader.(*BGReader).Read
         0     0% 75.78%      0.08s  0.95%  github.com/jackc/pgx/v5/pgproto3.(*Frontend).Flush
         0     0% 75.78%      0.05s   0.6%  github.com/jackc/pgx/v5/pgproto3.(*Frontend).SendBind
         0     0% 75.78%      0.05s   0.6%  github.com/jackc/pgx/v5/pgproto3.(*chunkReader).Next
         0     0% 75.78%      0.10s  1.19%  github.com/jackc/pgx/v5/pgtype.(*Map).Encode
         0     0% 75.78%      0.07s  0.84%  github.com/jackc/pgx/v5/pgtype.(*Map).PlanEncode (inline)
         0     0% 75.78%      0.06s  0.72%  github.com/jackc/pgx/v5/stdlib.(*Conn).ExecContext
         0     0% 75.78%      0.07s  0.84%  github.com/segmentio/kafka-go.(*Batch).ReadMessage
         0     0% 75.78%      0.07s  0.84%  github.com/segmentio/kafka-go.(*Batch).readMessage
         0     0% 75.78%      0.16s  1.91%  github.com/segmentio/kafka-go.(*Client).roundTrip
         0     0% 75.78%      0.31s  3.70%  github.com/segmentio/kafka-go.(*Conn).ReadBatchWith.func1
         0     0% 75.78%      0.09s  1.07%  github.com/segmentio/kafka-go.(*Conn).SetReadDeadline (inline)
         0     0% 75.78%      0.83s  9.90%  github.com/segmentio/kafka-go.(*Conn).do
         0     0% 75.78%      0.97s 11.58%  github.com/segmentio/kafka-go.(*Conn).doRequest
         0     0% 75.78%      0.54s  6.44%  github.com/segmentio/kafka-go.(*Conn).offsetCommit.func1
         0     0% 75.78%      0.28s  3.34%  github.com/segmentio/kafka-go.(*Conn).peekResponseSizeAndID
         0     0% 75.78%      0.83s  9.90%  github.com/segmentio/kafka-go.(*Conn).writeOperation (inline)
         0     0% 75.78%      0.92s 10.98%  github.com/segmentio/kafka-go.(*Generation).CommitOffsets
         0     0% 75.78%      1.04s 12.41%  github.com/segmentio/kafka-go.(*Generation).Start.func1
         0     0% 75.78%      1.04s 12.41%  github.com/segmentio/kafka-go.(*Reader).commitLoop
         0     0% 75.78%      1.04s 12.41%  github.com/segmentio/kafka-go.(*Reader).commitLoopImmediate
         0     0% 75.78%      0.92s 10.98%  github.com/segmentio/kafka-go.(*Reader).commitOffsetsWithRetry
         0     0% 75.78%      1.04s 12.41%  github.com/segmentio/kafka-go.(*Reader).run.func3
         0     0% 75.78%      1.20s 14.32%  github.com/segmentio/kafka-go.(*Reader).start.func1
         0     0% 75.78%      0.35s  4.18%  github.com/segmentio/kafka-go.(*Writer).batchMessages
         0     0% 75.78%      0.05s   0.6%  github.com/segmentio/kafka-go.(*Writer).enter
         0     0% 75.78%      0.05s   0.6%  github.com/segmentio/kafka-go.(*Writer).partitions
         0     0% 75.78%      0.25s  2.98%  github.com/segmentio/kafka-go.(*Writer).produce
         0     0% 75.78%      0.70s  8.35%  github.com/segmentio/kafka-go.(*conn).roundTrip
         0     0% 75.78%      0.75s  8.95%  github.com/segmentio/kafka-go.(*conn).run
         0     0% 75.78%      0.08s  0.95%  github.com/segmentio/kafka-go.(*connDeadline).setConnReadDeadline
         0     0% 75.78%      0.12s  1.43%  github.com/segmentio/kafka-go.(*connDeadline).setConnWriteDeadline
         0     0% 75.78%      0.09s  1.07%  github.com/segmentio/kafka-go.(*connPool).roundTrip
         0     0% 75.78%      0.05s   0.6%  github.com/segmentio/kafka-go.(*connPool).sendRequest
         0     0% 75.78%      0.29s  3.46%  github.com/segmentio/kafka-go.(*messageSetReader).readHeader
         0     0% 75.78%      0.29s  3.46%  github.com/segmentio/kafka-go.(*messageSetReader).readInt64 (inline)
         0     0% 75.78%      0.05s   0.6%  github.com/segmentio/kafka-go.(*messageSetReader).readMessage
         0     0% 75.78%      0.05s   0.6%  github.com/segmentio/kafka-go.(*partitionWriter).newWriteBatch
         0     0% 75.78%      0.15s  1.79%  github.com/segmentio/kafka-go.(*partitionWriter).newWriteBatch.func1
         0     0% 75.78%      0.31s  3.70%  github.com/segmentio/kafka-go.(*partitionWriter).writeBatch
         0     0% 75.78%      0.31s  3.70%  github.com/segmentio/kafka-go.(*partitionWriter).writeBatches
         0     0% 75.78%      1.20s 14.32%  github.com/segmentio/kafka-go.(*reader).run
         0     0% 75.78%      0.89s 10.62%  github.com/segmentio/kafka-go.(*timeoutCoordinator).offsetCommit
         0     0% 75.78%      0.25s  2.98%  github.com/segmentio/kafka-go.(*writeBatch).add
         0     0% 75.78%      0.25s  2.98%  github.com/segmentio/kafka-go.(*writeBuffer).Flush (inline)
         0     0% 75.78%      0.26s  3.10%  github.com/segmentio/kafka-go.(*writeBuffer).writeFetchRequestV10
         0     0% 75.78%      0.31s  3.70%  github.com/segmentio/kafka-go.newMessageSetReader
         0     0% 75.78%      0.29s  3.46%  github.com/segmentio/kafka-go.readInt64
         0     0% 75.78%      0.66s  7.88%  github.com/segmentio/kafka-go/protocol.(*Conn).RoundTrip
         0     0% 75.78%      0.07s  0.84%  github.com/segmentio/kafka-go/protocol.(*RecordSet).WriteTo
         0     0% 75.78%      0.06s  0.72%  github.com/segmentio/kafka-go/protocol.(*RecordSet).writeToVersion2
         0     0% 75.78%      0.54s  6.44%  github.com/segmentio/kafka-go/protocol.(*pageBuffer).WriteTo
         0     0% 75.78%      0.54s  6.44%  github.com/segmentio/kafka-go/protocol.(*pageBuffer).WriteTo.func1
         0     0% 75.78%      0.66s  7.88%  github.com/segmentio/kafka-go/protocol.RoundTrip
         0     0% 75.78%      0.65s  7.76%  github.com/segmentio/kafka-go/protocol.WriteRequest
         0     0% 75.78%      0.09s  1.07%  github.com/segmentio/kafka-go/protocol.arrayEncodeFuncOf.func4
         0     0% 75.78%      0.54s  6.44%  github.com/segmentio/kafka-go/protocol.contiguousPages.scan
         0     0% 75.78%      0.09s  1.07%  github.com/segmentio/kafka-go/protocol.structEncodeFuncOf.func2
         0     0% 75.78%      0.08s  0.95%  github.com/segmentio/kafka-go/protocol.writerEncodeFuncOf.func1
         0     0% 75.78%      0.07s  0.84%  gorm.io/gorm.(*DB).Begin
         0     0% 75.78%      0.81s  9.67%  gorm.io/gorm.(*DB).Create
         0     0% 75.78%      0.12s  1.43%  gorm.io/gorm.(*Statement).Build
         0     0% 75.78%      0.81s  9.67%  gorm.io/gorm.(*processor).Execute
         0     0% 75.78%      0.72s  8.59%  gorm.io/gorm/callbacks.RegisterDefaultCallbacks.Create.func3
         0     0% 75.78%      0.36s  4.30%  gorm.io/gorm/callbacks.RegisterDefaultCallbacks.SaveAfterAssociations.func4
         0     0% 75.78%      0.35s  4.18%  gorm.io/gorm/callbacks.saveAssociations
         0     0% 75.78%      0.11s  1.31%  gorm.io/gorm/clause.Clause.Build
         0     0% 75.78%      0.15s  1.79%  internal/poll.(*FD).SetReadDeadline (inline)
         0     0% 75.78%      0.12s  1.43%  internal/poll.(*FD).SetWriteDeadline (inline)
