File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-13 15:41:41 CEST
Duration: 120.07s, Total samples = 30.45s (25.36%)
Showing nodes accounting for -17.12s, 56.22% of 30.45s total
Dropped 814 nodes (cum <= 0.15s)
      flat  flat%   sum%        cum   cum%
    -0.02s 0.066% 54.29%     -7.58s 24.89%  database/sql.(*DB).queryDC
    -0.02s 0.066% 54.35%     -0.68s  2.23%  database/sql.(*Rows).initContextClose
    -0.02s 0.066% 54.42%     -0.72s  2.36%  database/sql.ctxDriverBegin
    -0.02s 0.066% 54.48%     -0.27s  0.89%  github.com/go-playground/validator.New
    -0.02s 0.066% 54.55%     -1.80s  5.91%  github.com/jackc/pgx/v5.(*Conn).Exec
    -0.02s 0.066% 54.61%     -0.16s  0.53%  github.com/jackc/pgx/v5/internal/stmtcache.(*LRUCache).Get
    -0.02s 0.066% 54.68%     -0.38s  1.25%  github.com/jackc/pgx/v5/pgconn.(*MultiResultReader).NextResult
     0.02s 0.066% 54.61%      0.88s  2.89%  github.com/segmentio/kafka-go.(*Conn).ReadBatchWith
    -0.02s 0.066% 54.68%     -1.12s  3.68%  gorm.io/gorm.(*DB).Begin
    -0.02s 0.066% 54.75%     -0.32s  1.05%  gorm.io/gorm.(*DB).getInstance
    -0.02s 0.066% 54.81%     -0.54s  1.77%  gorm.io/gorm.(*DB).scanIntoStruct
    -0.02s 0.066% 54.88%    -13.16s 43.22%  gorm.io/gorm.(*processor).Execute
    -0.02s 0.066% 54.94%     -0.24s  0.79%  gorm.io/gorm.Open.func3
    -0.02s 0.066% 55.01%     -0.12s  0.39%  gorm.io/gorm/schema.ParseWithSpecialTableName
    -0.02s 0.066% 55.07%     -5.04s 16.55%  internal/poll.(*FD).Write
    -0.02s 0.066% 55.14%     -1.60s  5.25%  internal/runtime/syscall.EpollWait
    -0.02s 0.066% 55.21%     -1.24s  4.07%  net.(*netFD).Read
    -0.02s 0.066% 55.27%    -14.36s 47.16%  orderservice/internal/repository.(*orderRepository).AddNewOrder.func1
     0.02s 0.066% 55.21%     -0.56s  1.84%  runtime.futexsleep
    -0.02s 0.066% 55.27%     -0.94s  3.09%  runtime.notewakeup
     0.02s 0.066% 55.21%     -0.23s  0.76%  runtime.runqgrab
    -0.02s 0.066% 55.27%     -0.78s  2.56%  runtime.startm
     0.02s 0.066% 55.21%      0.16s  0.53%  sync.(*Mutex).Lock (inline)
    -0.02s 0.066% 55.27%     -5.01s 16.45%  syscall.Write (inline)
    -0.02s 0.066% 55.34%     -1.03s  3.38%  syscall.read
    -0.01s 0.033% 55.37%     -0.15s  0.49%  database/sql.(*DB).conn
    -0.01s 0.033% 55.40%     -0.65s  2.13%  database/sql.(*DB).execDC
    -0.01s 0.033% 55.44%     -0.66s  2.17%  database/sql.(*Tx).ExecContext
    -0.01s 0.033% 55.47%     -6.48s 21.28%  database/sql.(*Tx).QueryContext
    -0.01s 0.033% 55.50%     -0.14s  0.46%  database/sql.(*driverConn).resetSession
    -0.01s 0.033% 55.53%     -6.74s 22.13%  database/sql.ctxDriverQuery
    -0.01s 0.033% 55.57%     -1.79s  5.88%  github.com/jackc/pgx/v5.(*Conn).exec
    -0.01s 0.033% 55.60%     -0.15s  0.49%  github.com/jackc/pgx/v5.(*ExtendedQueryBuilder).appendParam
     0.01s 0.033% 55.57%     -0.51s  1.67%  github.com/jackc/pgx/v5.(*dbTx).Commit
    -0.01s 0.033% 55.60%     -0.36s  1.18%  github.com/jackc/pgx/v5/pgconn.(*MultiResultReader).receiveMessage
    -0.01s 0.033% 55.63%     -6.33s 20.79%  github.com/jackc/pgx/v5/pgconn.(*PgConn).ExecPrepared
    -0.01s 0.033% 55.67%     -6.28s 20.62%  github.com/jackc/pgx/v5/pgconn.(*PgConn).execExtendedSuffix
    -0.01s 0.033% 55.70%     -1.73s  5.68%  github.com/jackc/pgx/v5/pgconn.(*PgConn).peekMessage
    -0.01s 0.033% 55.73%     -1.43s  4.70%  github.com/jackc/pgx/v5/pgconn.(*ResultReader).readUntilRowDescription
    -0.01s 0.033% 55.76%     -0.25s  0.82%  github.com/jackc/pgx/v5/pgconn.(*ResultReader).receiveMessage
    -0.01s 0.033% 55.80%     -0.57s  1.87%  github.com/segmentio/kafka-go.(*Conn).do
     0.01s 0.033% 55.76%     -0.39s  1.28%  github.com/segmentio/kafka-go.(*Conn).writeRequest
     0.01s 0.033% 55.73%      0.14s  0.46%  github.com/segmentio/kafka-go.(*Writer).spawn.func1
    -0.01s 0.033% 55.76%      0.26s  0.85%  github.com/segmentio/kafka-go.(*conn).run
     0.01s 0.033% 55.73%      0.27s  0.89%  github.com/segmentio/kafka-go.peekRead
     0.01s 0.033% 55.70%      0.24s  0.79%  github.com/segmentio/kafka-go/protocol.(*Conn).Write
    -0.01s 0.033% 55.73%      0.23s  0.76%  github.com/segmentio/kafka-go/protocol.RoundTrip
    -0.01s 0.033% 55.76%      0.23s  0.76%  github.com/segmentio/kafka-go/protocol.WriteRequest
    -0.01s 0.033% 55.80%     -0.16s  0.53%  gorm.io/gorm.(*DB).Clauses
    -0.01s 0.033% 55.83%     -4.77s 15.67%  gorm.io/gorm.(*DB).Find
    -0.01s 0.033% 55.86%     -0.13s  0.43%  gorm.io/gorm.(*Statement).QuoteTo.func1 (inline)
    -0.01s 0.033% 55.89%     -5.93s 19.47%  gorm.io/gorm/callbacks.Query
    -0.01s 0.033% 55.93%     -0.16s  0.53%  gorm.io/gorm/clause.Values.Build
     0.01s 0.033% 55.89%     -1.21s  3.97%  internal/poll.(*FD).Read
    -0.01s 0.033% 55.93%     -6.09s 20.00%  internal/poll.ignoringEINTRIO (inline)
    -0.01s 0.033% 55.96%     -1.58s  5.19%  io.ReadAtLeast
    -0.01s 0.033% 55.99%     -5.01s 16.45%  net.(*conn).Write
     0.01s 0.033% 55.96%      1.59s  5.22%  orderservice/internal/kafka.StartConsumer.func3
    -0.01s 0.033% 55.99%    -18.60s 61.08%  orderservice/internal/service.(*orderService).AddNewOrder
    -0.01s 0.033% 56.03%     -0.24s  0.79%  runtime.(*mcache).refill
    -0.01s 0.033% 56.06%     -0.79s  2.59%  runtime.(*timers).check
     0.01s 0.033% 56.03%     -0.14s  0.46%  runtime.chansend
    -0.01s 0.033% 56.06%     -0.14s  0.46%  runtime.chansend1
    -0.01s 0.033% 56.09%     -0.29s  0.95%  runtime.entersyscall
    -0.01s 0.033% 56.12%     -0.21s  0.69%  runtime.entersyscall_sysmon
     0.01s 0.033% 56.09%     -0.90s  2.96%  runtime.gcBgMarkWorker
    -0.01s 0.033% 56.12%     -0.86s  2.82%  runtime.gcBgMarkWorker.func2
    -0.01s 0.033% 56.16%     -0.29s  0.95%  runtime.heapSetTypeNoHeader (inline)
