File: orderservice
Build ID: 556c5df50ff62ad34c39489c0203282d1f28020e
Type: inuse_space
Time: 2026-04-06 15:06:24 CEST
Showing nodes accounting for -1.38MB, 15.21% of 9.04MB total
      flat  flat%   sum%        cum   cum%
         0     0% 15.21%    -0.51MB  5.66%  reflect.Value.grow
         0     0% 15.21%    -0.52MB  5.71%  regexp.(*Regexp).MatchString (inline)
         0     0% 15.21%    -0.52MB  5.71%  regexp.(*Regexp).backtrack
         0     0% 15.21%    -0.52MB  5.71%  regexp.(*Regexp).doExecute
         0     0% 15.21%    -0.52MB  5.71%  regexp.(*Regexp).doMatch (inline)
         0     0% 15.21%    -0.50MB  5.54%  regexp.Compile (inline)
         0     0% 15.21%    -0.50MB  5.54%  regexp.MustCompile
         0     0% 15.21%    -0.50MB  5.54%  regexp.compile
         0     0% 15.21%    -0.50MB  5.54%  regexp/syntax.(*compiler).cap (inline)
         0     0% 15.21%    -0.50MB  5.54%  regexp/syntax.(*compiler).compile
         0     0% 15.21%    -0.50MB  5.54%  regexp/syntax.Compile
         0     0% 15.21%    -0.50MB  5.53%  runtime.bgscavenge
         0     0% 15.21%    -1.51MB 16.73%  runtime.doInit (inline)
         0     0% 15.21%    -1.51MB 16.73%  runtime.doInit1
         0     0% 15.21%    -1.01MB 11.19%  runtime.main
         0     0% 15.21%    -1.50MB 16.63%  runtime.mcall
         0     0% 15.21%    -0.50MB  5.54%  runtime.mstart
         0     0% 15.21%    -0.50MB  5.54%  runtime.mstart0
         0     0% 15.21%    -0.50MB  5.54%  runtime.mstart1
         0     0% 15.21%       -2MB 22.17%  runtime.newm
         0     0% 15.21%     0.50MB  5.53%  runtime.newproc.func1
         0     0% 15.21%     0.50MB  5.53%  runtime.newproc1
         0     0% 15.21%    -1.50MB 16.63%  runtime.park_m
         0     0% 15.21%       -2MB 22.17%  runtime.resetspinning
         0     0% 15.21%       -2MB 22.17%  runtime.schedule
         0     0% 15.21%       -2MB 22.17%  runtime.startm
         0     0% 15.21%     0.50MB  5.53%  runtime.systemstack
         0     0% 15.21%       -2MB 22.17%  runtime.wakep
